time, git commit hash, number of rows in left matrix, number of columns in left matrix, number of rows in right matrix, number of columns in right matrix, numpy time (ms), cpp time (ms)
20190102-121928,0b1a8b2,1007,1840,1840,1542,2117,22857
20190102-162950,07b5818,1618,1900,1900,1175,2497,15361
20190102-163101,efedb31,1341,1901,1901,1474,2523,17771
20190102-163210,df3adb5,1208,1617,1617,1387,1915,11557
20190102-163347,566a7c4,1030,1052,1052,1542,1175,6836
20190102-163540,566a7c4,1943,1621,1621,1683,3768,23287
20190102-163808,54330ab,1443,1141,1141,1010,1088,8370
20190102-163916,a0eb2ab,1111,1148,1148,1514,1340,8805
20190102-163950,a0eb2ab,1591,1648,1648,1410,2596,16878
20190102-182043,3b4adc1,1281,1040,1040,1003,845,6186
20190102-213213,cccba92,1677,1613,1613,1622,3108,19127
20190102-222632,cccba92,1640,1655,1655,1630,3228,19193
20190102-222804,cccba92,1698,1620,1620,1690,3489,20490
20190102-222928,cccba92,1641,1692,1692,1700,3647,20307
20190102-223121,cccba92,1679,1688,1688,1690,3461,20190102-223141,cccba92,1636,1696,1696,1697,3339,20190102-223246,cccba92,1650,1639,1639,1679,3207,20190102-223423,cccba92,1696,1686,1686,1692,3455,20190102-223525,cccba92,1626,1607,1607,1622,3020,559
20190102-223828,00234b3,32,32,32,32,3,0
